loan_id,cust_id,loan_status,outstanding_amt
90,93682,Defaulted,33207
91,90604,Defaulted,20231
92,88738,Closed,2515
93,28976,Active,33560
94,87674,Active,12213
95,10324,Defaulted,4765
96,34878,Closed,17839
97,10576,Closed,37710
98,26859,Active,25978
99,25877,Defaulted,11773
100,82168,Defaulted,3517
101,22042,Active,37911
102,26655,Active,44368
103,42791,Active,31978
104,74939,Closed,27727
105,24601,Defaulted,16142
106,10028,Active,36185
107,46282,Closed,35784
108,70557,Active,37082
109,20868,Active,7897
110,51807,Active,6635
111,93525,Active,44206
112,42611,Defaulted,39187
113,84245,Defaulted,22477
114,18846,Active,49044
115,30567,Defaulted,30491
116,84710,Defaulted,22890
117,16278,Defaulted,47558
118,17392,Closed,12144
119,92523,Closed,43343
120,30322,Defaulted,2341
121,13770,Closed,15290
122,435,Defaulted,35368
123,23106,Closed,1505
124,69370,Defaulted,36781
125,37551,Active,21804
126,24471,Closed,45022
127,12742,Defaulted,17017
128,40680,Closed,33115
129,78769,Closed,41775
130,12420,Closed,23368
131,2453,Defaulted,19269
132,82744,Closed,12642
133,41437,Active,32973
134,66479,Active,26836
135,96695,Active,33141
136,96528,Defaulted,5094
137,4688,Defaulted,45879
138,97337,Closed,1132
139,12024,Defaulted,35633
140,11338,Defaulted,10878
141,8017,Active,12778
142,29809,Closed,24138
143,62002,Defaulted,42813
144,95773,Active,42905
145,65380,Active,34904
146,9357,Defaulted,28979
147,49727,Active,19480
148,35339,Defaulted,26893
149,62930,Defaulted,23210
150,97497,Closed,6159
151,44022,Active,21376
152,96894,Active,49001
153,81768,Active,16782
154,96891,Active,25455
155,84674,Defaulted,30959
156,33356,Closed,28423
157,28707,Closed,13333
158,2734,Defaulted,32510
159,48657,Closed,19407
160,17587,Defaulted,35195
161,41682,Defaulted,44979
162,97145,Active,9857
163,45683,Defaulted,21275
164,63183,Closed,11283
165,43019,Defaulted,27985
166,96778,Closed,20932
167,19025,Active,13346
168,87318,Active,3981
169,15773,Closed,18212
170,18976,Active,12582
171,31193,Defaulted,24783
172,15921,Closed,20061
173,38957,Active,9170
174,28776,Active,32542
175,15456,Defaulted,5854
176,69037,Defaulted,18822
177,82394,Defaulted,29125
178,19585,Active,27427
179,51430,Defaulted,48082
180,24615,Defaulted,7627
181,10605,Active,48480
182,49398,Active,12433
183,56127,Active,6924
184,50086,Closed,38122
185,36252,Active,4636
186,293,Closed,15424
187,50814,Defaulted,34616
188,98222,Active,47958
189,76320,Closed,39339
190,14133,Active,24450
191,84301,Active,23125
192,14398,Defaulted,37767
193,44590,Defaulted,46527
194,98230,Defaulted,2789
195,48255,Defaulted,27931
196,20450,Active,1343
197,50972,Defaulted,25251
198,91913,Defaulted,11359
199,43490,Closed,34458
200,49101,Closed,5247
201,16060,Defaulted,40776
202,45607,Defaulted,45835
203,3800,Defaulted,14088
204,26891,Active,25317
205,91262,Defaulted,36321
206,8277,Defaulted,33666
207,41634,Defaulted,9645
208,23132,Closed,42401
209,3738,Defaulted,13966
210,94581,Active,34876
211,11463,Defaulted,25418
212,72566,Active,23357
213,79443,Closed,33385
214,21697,Defaulted,9301
215,47474,Defaulted,35985
216,29152,Defaulted,45104
217,82153,Defaulted,1000
218,29850,Closed,28724
219,54199,Active,13564
220,32109,Closed,42889
221,46767,Active,12273
222,63139,Closed,18318
223,78710,Defaulted,30363
224,52258,Active,48276
225,22267,Closed,46033
226,45321,Closed,33783
227,34606,Closed,44630
228,89917,Closed,44730
229,51861,Closed,38823
230,33975,Active,10216
231,3851,Closed,8106
232,15881,Active,5794
233,32384,Defaulted,36360
234,39805,Closed,39820
235,39547,Active,22614
236,99664,Active,37984
237,79241,Defaulted,14445
238,32560,Defaulted,17262
239,22365,Defaulted,34690
240,55087,Active,28230
241,53952,Active,11288
242,77157,Closed,13765
243,63161,Active,23861
244,35474,Defaulted,28380
245,10824,Active,47948
246,53887,Active,45703
247,14020,Defaulted,20574
248,39395,Active,24285
249,73125,Defaulted,45172
250,43495,Defaulted,29747
251,95901,Defaulted,11896
252,90793,Closed,29123
253,37061,Defaulted,42137
254,42213,Closed,31963
255,39182,Defaulted,6786
256,72828,Active,30802
257,47602,Defaulted,34823
258,84197,Closed,15112
259,28301,Closed,19618
260,98576,Closed,18493
261,5800,Active,47361
262,10368,Active,10707
263,75561,Defaulted,36745
264,91654,Defaulted,37016
265,93768,Closed,10053
266,47313,Active,37825
267,78145,Closed,12754
268,56667,Closed,13606
269,11948,Defaulted,7063
270,42661,Active,15919
271,51838,Active,28565
272,67608,Active,5632
273,49114,Active,33542
274,33371,Closed,14043
275,79683,Active,36562
276,33790,Closed,44381
277,9248,Active,7935
278,86657,Defaulted,20949
279,65036,Defaulted,2951
280,84023,Defaulted,6660
281,73443,Active,10371
282,84719,Active,4146
283,90487,Defaulted,38618
284,41578,Defaulted,16559
285,71974,Active,38558
286,4413,Active,7715
287,16775,Defaulted,49712
288,29997,Closed,13430
289,98653,Defaulted,28565
290,96155,Closed,26281
291,78903,Defaulted,42344
292,166,Active,27725
293,52954,Active,48258
294,65103,Active,45907
295,79419,Closed,26137
296,12076,Closed,49488
297,37735,Defaulted,46304
298,76431,Defaulted,29091
299,62741,Defaulted,17320
300,30559,Defaulted,25001
301,17156,Active,8774
302,77981,Active,16962
303,48901,Active,32033
304,89554,Closed,27584
305,34486,Defaulted,13398
306,97082,Closed,24149
307,45285,Active,23618
308,71674,Active,20142
309,6429,Defaulted,3486
310,20757,Closed,27394
311,59093,Active,9791
312,65343,Closed,28959
313,98621,Defaulted,18610
314,82443,Active,18720
315,39214,Active,2294
316,44958,Closed,10226
317,70347,Closed,11726
318,80286,Active,36379
319,30879,Active,11081
320,7947,Defaulted,32130
321,22454,Closed,42156
322,94917,Defaulted,6980
323,41901,Closed,8710
324,93506,Defaulted,31916
325,74557,Active,24349
326,83148,Active,23619
327,67129,Active,18623
328,28327,Closed,12292
329,34324,Defaulted,14802
330,87062,Defaulted,9632
331,76125,Closed,30596
332,96350,Defaulted,29943
333,41980,Defaulted,5269
334,35106,Active,20250
335,14995,Active,36264
336,15483,Defaulted,43348
337,22814,Defaulted,37502
338,59522,Active,1827
339,48235,Active,34200
340,44429,Defaulted,42507
341,11177,Active,14940
342,9187,Defaulted,16466
343,50555,Active,8314
344,29630,Defaulted,25506
345,55491,Defaulted,30600
346,14853,Defaulted,4414
347,29145,Closed,47889
348,99274,Active,7888
349,5643,Defaulted,31179
350,19319,Defaulted,18484
351,30864,Defaulted,31434
352,26192,Defaulted,44698
353,43200,Defaulted,44822
354,99376,Closed,3774
355,76835,Active,31572
356,34962,Defaulted,18961
357,43016,Active,32390
358,83504,Active,7551
359,49472,Closed,27984
360,97000,Defaulted,33532
361,77398,Defaulted,49457
362,57834,Defaulted,14468
363,80612,Closed,7569
364,75521,Closed,26919
365,85648,Active,14233
366,81469,Defaulted,49334
367,1799,Defaulted,40610
368,23514,Closed,48788
369,88681,Active,11312
370,86124,Defaulted,9837
371,18893,Defaulted,35267
372,18576,Defaulted,42453
373,12252,Defaulted,41886
374,69575,Closed,14265
375,83441,Active,30875
376,86025,Defaulted,42175
377,72899,Defaulted,39309
378,81879,Active,3096
379,31932,Active,42721
380,32684,Defaulted,21244
381,3654,Active,48698
382,7482,Closed,1922
383,74045,Defaulted,46570
384,97646,Defaulted,43862
385,26930,Active,18831
386,85213,Closed,42653
387,72734,Defaulted,31411
388,58339,Defaulted,25577
389,55238,Closed,40826
390,4630,Defaulted,10747
391,15489,Closed,1361
392,33197,Defaulted,26735
393,6690,Closed,1830
394,38747,Closed,18994
395,47205,Defaulted,41656
396,51189,Closed,6351
397,38273,Active,17128
398,31450,Defaulted,34822
399,1805,Defaulted,22779
400,7570,Defaulted,17447
401,64338,Defaulted,23764
402,23137,Active,34091
403,94110,Defaulted,26168
404,36702,Closed,8373
405,48941,Closed,36932
406,95413,Closed,16372
407,5786,Defaulted,24652
408,62945,Active,45028
409,91642,Closed,30217
410,13480,Defaulted,12712
411,67764,Active,22585
412,92989,Active,32257
413,94531,Active,7826
414,1218,Active,40492
415,93102,Defaulted,23783
416,55826,Active,48224
417,73323,Closed,1708
418,74624,Defaulted,41334
419,42917,Active,37344
420,62920,Defaulted,7036
421,86607,Active,2305
422,45411,Defaulted,48791
423,43134,Defaulted,39472
424,91089,Closed,5848
425,97367,Closed,33876
426,9754,Defaulted,15237
427,62333,Defaulted,47845
428,76929,Defaulted,46702
429,62862,Defaulted,15882
430,13981,Active,27341
431,29279,Closed,34891
432,59488,Active,45017
433,5421,Active,46120
434,18975,Closed,40296
435,28137,Defaulted,6360
436,91279,Active,44539
437,98255,Defaulted,49762
438,85679,Closed,28287
439,30801,Closed,10131
440,98019,Active,42288
441,59743,Defaulted,39646
442,77872,Active,28928
443,25379,Defaulted,27842
444,52171,Active,39205
445,35419,Defaulted,45754
446,67274,Defaulted,45226
447,25992,Defaulted,3852
448,1959,Closed,20893
449,61609,Defaulted,20730
450,77215,Closed,42129
451,61932,Defaulted,9462
452,48289,Defaulted,17751
453,78270,Closed,33690
454,21579,Closed,32948
455,92008,Defaulted,44230
456,97356,Closed,5990
457,98040,Defaulted,10714
458,88122,Defaulted,29158
459,86792,Active,23329
460,38115,Active,36583
461,99500,Active,25863
462,88036,Active,25503
463,28695,Defaulted,40663
464,90687,Active,15855
465,15428,Active,36369
466,72855,Closed,19312
467,13383,Defaulted,17712
468,2981,Closed,16728
469,9187,Defaulted,27782
470,76857,Defaulted,35351
471,47245,Active,23806
472,11278,Defaulted,19604
473,51974,Defaulted,44590
474,5106,Defaulted,7465
475,45460,Closed,8293
476,36395,Defaulted,39307
477,37035,Defaulted,38224
478,29413,Closed,18129
479,87137,Closed,17649
480,38216,Active,48499
481,98705,Active,29637
482,8106,Closed,46407
483,99706,Active,19779
484,35720,Closed,24369
485,99316,Closed,32756
486,51717,Defaulted,16703
487,97620,Active,39449
488,20058,Active,43735
489,77038,Active,33901
490,13276,Defaulted,25716
491,46238,Active,1628
492,3803,Defaulted,40895
493,23336,Active,35487
494,38010,Defaulted,25943
495,19176,Defaulted,43172
496,56270,Closed,42399
497,53973,Closed,7926
498,46600,Active,2400
499,43558,Closed,44288
500,53360,Closed,29547
501,70341,Active,34796
502,54401,Defaulted,31494
503,11369,Active,35635
504,33504,Closed,4838
505,97820,Closed,22809
506,47377,Closed,3437
507,97820,Defaulted,1626
508,77456,Closed,41937
509,24447,Closed,49633
510,69474,Defaulted,6056
511,78765,Defaulted,28977
512,25980,Defaulted,26557
513,73014,Closed,27228
514,84794,Active,31734
515,42525,Closed,24279
516,81214,Closed,16475
517,7944,Defaulted,34749
518,17543,Closed,48491
519,35191,Defaulted,16220
520,7935,Defaulted,24842
521,77856,Active,23034
522,65499,Defaulted,22424
523,36253,Closed,23787
524,8048,Defaulted,40875
525,74823,Defaulted,25218
526,46435,Active,36834
527,23913,Closed,6651
528,97379,Defaulted,19422
529,55085,Closed,30636
530,97495,Closed,43980
531,96914,Active,38654
532,15125,Active,1760
533,29309,Active,43222
534,41062,Defaulted,11023
535,43719,Defaulted,47351
536,41781,Active,43840
537,49751,Defaulted,35480
538,94957,Active,14057
539,79043,Closed,22179
540,26060,Active,41445
541,38014,Active,30162
542,71096,Defaulted,45125
543,17029,Active,11739
544,20175,Active,11617
545,76302,Active,12292
546,38133,Active,13745
547,92639,Defaulted,5316
548,44143,Closed,23452
549,62208,Defaulted,17846
550,30474,Defaulted,31411
551,3218,Defaulted,18839
552,78166,Defaulted,26478
553,10648,Active,1498
554,14297,Closed,35280
555,25537,Defaulted,41782
556,74030,Defaulted,29613
557,68227,Defaulted,44148
558,95922,Defaulted,6330
559,69724,Defaulted,15603
560,95155,Defaulted,24220
561,91185,Closed,8347
562,6030,Closed,17172
563,59600,Defaulted,25545
564,81882,Active,41613
565,39485,Active,40091
566,83974,Active,41804
567,95769,Active,33724
568,79099,Defaulted,38442
569,2567,Active,38824
570,69828,Closed,29083
571,24242,Closed,9682
572,4356,Closed,42480
573,92560,Active,14505
574,23478,Defaulted,35697
575,58242,Closed,18738
576,67876,Defaulted,11741
577,75511,Defaulted,20881
578,69746,Active,31958
579,12019,Active,9778
580,47527,Defaulted,5334
581,8181,Closed,26102
582,59651,Defaulted,31985
583,13558,Defaulted,6302
584,22368,Active,13703
585,20936,Defaulted,9651
586,33916,Closed,44151
587,82060,Active,12443
588,17416,Defaulted,29998
589,23009,Defaulted,27250
590,90274,Active,46658
591,87489,Closed,38022
592,31667,Active,31811
593,3979,Closed,47123
594,56015,Defaulted,1251
595,48075,Defaulted,8314
596,28892,Defaulted,41282
597,82978,Active,48878
598,32576,Closed,34920
599,62500,Closed,28160
600,46711,Active,1322
601,48539,Active,29353
602,20053,Defaulted,45316
603,56789,Active,9832
604,46698,Defaulted,46701
605,1814,Active,29784
606,86056,Active,10951
607,66819,Defaulted,2990
608,55760,Active,36918
609,27633,Closed,17613
610,84852,Active,32840
611,52607,Active,24824
612,86892,Defaulted,4193
613,98385,Active,3141
614,26466,Active,16450
615,93779,Defaulted,43468
616,32944,Closed,3540
617,31394,Closed,44060
618,76610,Closed,12439
619,21895,Closed,4982
620,43207,Active,43451
621,52801,Defaulted,36033
622,82851,Closed,3172
623,35959,Defaulted,19827
624,5607,Active,37410
625,81993,Defaulted,22558
626,72609,Closed,42473
627,76472,Active,16388
628,41356,Active,32497
629,96428,Active,6633
630,5612,Active,15033
631,8999,Active,28518
632,90365,Active,4154
633,22575,Active,16335
634,65404,Closed,21151
635,84466,Defaulted,24441
636,29720,Defaulted,29754
637,50800,Defaulted,35116
638,75900,Defaulted,41626
639,82250,Defaulted,37123
640,12675,Active,11080
641,99695,Defaulted,41333
642,44643,Active,32049
643,23979,Defaulted,32660
644,20977,Active,3184
645,21592,Closed,32169
646,51302,Defaulted,6282
647,48616,Defaulted,48328
648,15147,Active,9561
649,94628,Closed,41189
650,15253,Closed,43256
651,5396,Defaulted,47259
652,72589,Active,34654
653,80632,Closed,21449
654,83243,Defaulted,31447
655,91829,Defaulted,9549
656,53453,Closed,2685
657,61960,Defaulted,36520
658,86491,Active,15429
659,82989,Defaulted,27862
660,94141,Closed,36095
661,89108,Defaulted,45611
662,71439,Defaulted,35536
663,6778,Defaulted,26554
664,59186,Defaulted,29249
665,12033,Closed,26974
666,75978,Defaulted,17682
667,11165,Closed,28410
668,4629,Closed,22180
669,1682,Defaulted,29766
670,94581,Closed,41830
671,35224,Active,26694
672,66282,Active,48616
673,62421,Closed,48606
674,60308,Closed,38002
675,61139,Closed,2891
676,32774,Closed,14142
677,62093,Closed,13885
678,67027,Active,19400
679,63089,Closed,9779
680,3890,Closed,37592
681,58664,Defaulted,39497
682,981,Closed,48199
683,28282,Closed,49600
684,67944,Defaulted,19168
685,3899,Defaulted,37553
686,91069,Active,4820
687,69344,Defaulted,13624
688,2594,Active,26651
689,37449,Active,46303
690,82244,Defaulted,7185
691,94118,Active,4383
692,64342,Active,36633
693,23165,Closed,26146
694,18393,Defaulted,28849
695,68069,Closed,30359
696,77693,Defaulted,1449
697,20038,Active,5221
698,33072,Active,37896
699,34407,Closed,12738
700,41360,Closed,7509
701,21781,Active,6352
702,41366,Active,30368
703,5342,Active,17937
704,51497,Defaulted,10938
705,85279,Active,37999
706,5964,Active,15344
707,32467,Active,36482
708,72162,Defaulted,35255
709,18160,Active,24913
710,86018,Defaulted,6618
711,87950,Active,42370
712,16197,Active,9508
713,48190,Defaulted,43405
714,75376,Active,5732
715,43667,Defaulted,41814
716,38614,Defaulted,47896
717,53510,Closed,21156
718,47461,Defaulted,30953
719,34469,Defaulted,33362
720,35455,Defaulted,18206
721,81984,Defaulted,34622
722,45325,Active,28751
723,89170,Closed,44565
724,24445,Defaulted,36677
725,92268,Active,44416
726,67162,Defaulted,9150
727,56143,Closed,22593
728,90716,Closed,4328
729,31175,Active,5304
730,35981,Closed,15203
731,42152,Closed,2579
732,65997,Closed,37193
733,66911,Defaulted,41244
734,22938,Defaulted,6340
735,73416,Active,10344
736,48315,Defaulted,3338
737,38428,Closed,40657
738,1019,Defaulted,14949
739,72444,Closed,46305
740,10281,Closed,28618
741,42271,Closed,27752
742,10214,Active,5497
743,32715,Closed,36484
744,79083,Defaulted,20447
745,15259,Closed,15608
746,61328,Active,25963
747,48982,Active,27505
748,26673,Closed,2057
749,75511,Active,35083
750,37253,Defaulted,16427
751,61150,Active,39866
752,90399,Closed,45103
753,43064,Active,4273
754,18837,Defaulted,17909
755,89832,Closed,41566
756,84067,Active,1124
757,7052,Defaulted,10169
758,79229,Closed,11450
759,23115,Closed,9626
760,78764,Defaulted,20016
761,73587,Closed,19125
762,949,Defaulted,40316
763,54493,Closed,43776
764,97874,Closed,1740
765,75365,Active,42615
766,17657,Closed,29694
767,91729,Defaulted,27616
768,22090,Active,4717
769,58111,Active,41555
770,70367,Active,5527
771,9403,Closed,13442
772,22819,Closed,29207
773,2980,Defaulted,33169
774,63935,Closed,43676
775,19709,Closed,12746
776,88119,Active,38101
777,99586,Active,35923
778,61022,Defaulted,41777
779,68301,Defaulted,16737
780,34011,Closed,38239
781,90115,Active,18175
782,7491,Closed,36882
783,85338,Defaulted,19273
784,43066,Defaulted,31572
785,27376,Defaulted,2547
786,10506,Closed,45939
787,87978,Closed,35332
788,69682,Defaulted,45608
789,89343,Defaulted,29766
790,14779,Defaulted,29584
791,68047,Defaulted,34020
792,98263,Active,20630
793,99647,Active,38490
794,9567,Active,33628
795,70729,Closed,30538
796,27729,Defaulted,48670
797,73156,Active,22117
798,87638,Active,11143
799,50906,Active,27234
800,93349,Closed,17080
801,65700,Closed,36913
802,79764,Defaulted,30293
803,47980,Defaulted,20824
804,29052,Defaulted,41722
805,51235,Closed,14869
806,15080,Closed,5017
807,65189,Closed,38271
808,39304,Defaulted,7199
809,94293,Defaulted,43198
810,32287,Defaulted,33257
811,15813,Defaulted,15559
812,36876,Closed,19457
813,7650,Active,19570
814,16655,Closed,33801
815,53499,Active,9192
816,67304,Active,2064
817,51833,Defaulted,6146
818,41617,Closed,23035
819,20002,Defaulted,7655
820,18084,Defaulted,4371
821,68552,Defaulted,13734
822,58039,Closed,23324
823,88927,Defaulted,21168
824,70642,Active,41005
825,60796,Active,31180
826,40238,Active,43246
827,1581,Defaulted,16956
828,91327,Closed,23153
829,18407,Defaulted,23943
830,80389,Active,39827
831,52028,Closed,30478
832,99425,Active,48617
833,38330,Active,30144
834,91929,Active,48657
835,25296,Closed,25665
836,272,Defaulted,27553
837,42687,Closed,40305
838,1998,Defaulted,30127
839,33671,Active,25202
840,19536,Defaulted,22012
841,54854,Defaulted,17833
842,26967,Closed,33767
843,65682,Defaulted,47576
844,67483,Active,47561
845,10195,Defaulted,17375
846,43964,Closed,42625
847,39994,Closed,42684
848,27325,Closed,3380
849,98812,Closed,42549
850,46141,Defaulted,43072
851,24928,Active,32906
852,17301,Active,23996
853,87807,Active,15608
854,20984,Defaulted,12360
855,77107,Active,32649
856,4616,Closed,15079
857,8475,Closed,14001
858,4645,Closed,1551
859,98584,Defaulted,14481
860,81794,Closed,48639
861,12987,Defaulted,23995
862,3780,Active,44151
863,25917,Active,17253
864,67386,Active,10990
865,4042,Closed,10782
866,65734,Defaulted,3096
867,73534,Closed,34401
868,24745,Closed,22521
869,20903,Active,5260
870,59193,Closed,48556
871,55887,Defaulted,5417
872,51994,Active,48490
873,93723,Defaulted,16367
874,35301,Closed,24580
875,45855,Closed,22143
876,56780,Defaulted,45152
877,31639,Closed,38840
878,77606,Defaulted,40269
879,70252,Active,47005
880,72056,Active,5154
881,60110,Defaulted,10859
882,28777,Active,8053
883,41678,Closed,2651
884,29152,Defaulted,30007
885,26432,Active,6877
886,93508,Closed,30239
887,863,Active,23582
888,68457,Defaulted,40017
889,85885,Closed,38866
890,55289,Active,34669
891,4618,Closed,6733
892,70223,Active,11534
893,31488,Closed,16296
894,14115,Defaulted,16719
895,2427,Active,5166
896,72271,Defaulted,22642
897,92929,Active,46112
898,8279,Closed,18967
899,65021,Active,20304
900,60230,Closed,24862
901,37256,Active,16284
902,41453,Active,35201
903,33874,Closed,1379
904,66812,Active,30795
905,82014,Active,16985
906,39254,Defaulted,23922
907,1780,Active,1576
908,94686,Active,36523
909,57035,Active,2425
910,88579,Active,48883
911,41154,Defaulted,16212
912,27487,Closed,41230
913,92211,Active,41348
914,29591,Active,31999
915,73978,Defaulted,30726
916,81465,Closed,21113
917,71962,Defaulted,18761
918,14952,Defaulted,33881
919,23471,Closed,10673
920,38238,Closed,2236
921,23833,Defaulted,21559
922,51770,Defaulted,23543
923,50513,Defaulted,25170
924,6917,Defaulted,43147
925,25554,Defaulted,25009
926,21700,Closed,39183
927,84009,Defaulted,24769
928,34944,Defaulted,43159
929,49524,Defaulted,17931
930,38508,Defaulted,35012
931,43335,Active,4526
932,13074,Closed,39039
933,17230,Closed,14392
934,93744,Closed,23364
935,89813,Defaulted,41220
936,21558,Active,26131
937,84726,Defaulted,2930
938,65937,Active,43194
939,71715,Active,45695
940,37358,Defaulted,12890
941,93541,Closed,16269
942,73418,Active,48020
943,57944,Closed,12957
944,6649,Active,45807
945,48844,Defaulted,23664
946,57671,Closed,37746
947,46275,Defaulted,6802
948,29783,Active,21699
949,97512,Defaulted,1642
950,72783,Active,22551
951,23880,Closed,43382
952,33295,Active,41704
953,57087,Active,9592
954,58513,Closed,18869
955,49353,Defaulted,4755
956,9638,Defaulted,30144
957,21716,Closed,31168
958,41636,Active,23850
959,24327,Active,1397
960,38345,Defaulted,7449
961,27122,Active,32588
962,6934,Active,4522
963,25220,Active,11250
964,5715,Defaulted,20562
965,68963,Active,40749
966,40936,Active,46477
967,86291,Active,32781
968,79105,Active,5068
969,1645,Active,43421
970,10791,Active,2414
971,92472,Closed,19148
972,90939,Defaulted,40398
973,5582,Closed,25750
974,82652,Defaulted,20814
975,32678,Closed,2346
976,16538,Active,31491
977,8196,Closed,13622
978,82370,Closed,21108
979,50264,Closed,30375
980,9325,Active,26826
981,83095,Active,40061
982,15473,Closed,48232
983,7648,Active,43420
984,25830,Defaulted,45187
985,14138,Active,14689
986,87854,Defaulted,19203
987,53851,Closed,35589
988,65229,Closed,33889
989,29998,Defaulted,8809
990,74889,Active,1907
991,7817,Active,17596
992,39232,Defaulted,3377
993,38896,Defaulted,25713
994,50368,Defaulted,23909
995,59092,Closed,7370
996,57992,Closed,22273
997,8167,Defaulted,46862
998,13999,Defaulted,28930
999,38109,Defaulted,15426
1000,97741,Defaulted,37321
1001,62156,Defaulted,41274
1002,14975,Active,24533
1003,95173,Defaulted,26763
1004,39235,Active,5061
1005,93636,Closed,34621
1006,83232,Defaulted,33350
1007,40236,Active,5395
1008,79059,Defaulted,40012
1009,62754,Defaulted,40774
1010,52947,Defaulted,12025
1011,61304,Active,33742
1012,69602,Closed,42410
1013,49854,Active,21621
1014,81288,Defaulted,5926
1015,65434,Defaulted,43951
1016,75825,Closed,22725
1017,83159,Closed,13388
1018,73067,Defaulted,37439
1019,52067,Closed,19402
1020,68051,Active,38262
1021,46309,Closed,22497
1022,73480,Active,12618
1023,27045,Defaulted,27175
1024,83673,Defaulted,31091
1025,28127,Closed,40714
1026,25733,Active,37556
1027,45375,Closed,16155
1028,76200,Active,10682
1029,62537,Defaulted,28681
1030,72910,Defaulted,30863
1031,19514,Closed,37985
1032,44544,Closed,5698
1033,20530,Active,31415
1034,65468,Defaulted,7889
1035,59493,Defaulted,28661
1036,68536,Active,34699
1037,80052,Closed,12725
1038,19892,Active,1745
1039,95806,Defaulted,16200
1040,59359,Defaulted,24490
1041,38938,Closed,25191
1042,58998,Defaulted,9356
1043,68059,Closed,31082
1044,24810,Closed,41915
1045,7464,Active,41733
1046,94495,Active,22698
1047,33100,Closed,13593
1048,17595,Defaulted,6908
1049,30807,Active,3513
1050,70949,Closed,17723
1051,32347,Closed,18198
1052,23366,Active,45474
1053,72162,Defaulted,39383
1054,27534,Closed,5117
1055,92378,Closed,1506
1056,66290,Closed,37504
1057,10471,Defaulted,1685
1058,3022,Active,48624
1059,4160,Defaulted,36696
1060,70236,Closed,42247
1061,11350,Defaulted,2286
1062,47815,Closed,38255
1063,97559,Active,32327
1064,12136,Active,24839
1065,96256,Closed,34330
1066,17872,Active,36515
1067,14598,Active,40160
1068,901,Defaulted,29649
1069,81454,Closed,39276
1070,27851,Defaulted,44573
1071,45921,Closed,23113
1072,46889,Closed,6938
1073,68134,Active,16671
1074,41804,Defaulted,10304
1075,70796,Defaulted,49240
1076,35406,Active,40185
1077,66474,Active,12140
1078,23062,Defaulted,4336
1079,10788,Closed,28761
1080,86274,Closed,40996
1081,59048,Closed,47880
1082,21787,Closed,46561
1083,43535,Defaulted,14171
1084,11120,Active,45494
1085,61044,Closed,11773
1086,41726,Active,45875
1087,17403,Active,21612
1088,27920,Active,1799
1089,26175,Defaulted,4812
1090,77222,Active,25285
1091,79758,Defaulted,18373
1092,53901,Active,11138
1093,67370,Defaulted,3034
1094,63702,Closed,6001
1095,93498,Closed,48575
1096,62985,Defaulted,5355
1097,61932,Closed,7280
1098,28639,Defaulted,37267
1099,13896,Defaulted,4891
1100,5549,Active,40461
1101,11133,Closed,3526
1102,10452,Closed,17464
1103,58805,Defaulted,18779
1104,61554,Closed,28761
1105,78987,Closed,18160
1106,28716,Defaulted,36095
1107,50747,Closed,37793
1108,36104,Active,38276
1109,9441,Defaulted,20842
1110,30960,Active,45291
1111,66116,Defaulted,48948
1112,68461,Active,3448
1113,62066,Active,45452
1114,25885,Active,2609
1115,35462,Active,14727
